similes,components,literal_sentences,label1_q,label1_c,label1_i,label2_q,label2_c,label2_i,label3_q,label3_c,label3_i,BERTS_base,BERTS_large,BLEU1,BLEU2,BLEU3,BLEU4,rouge1,rouge2,rougeL,meteor,fluency,relevance_KB,relevance_COMET,consistency_emo,consistency_mnli
"Some raindrops struck the roof, window and ran down its panes like arrows.","[('Some raindrops', 'arrows', 'ran')]","Some raindrops struck the roof , window and ran down its panes .",1,3,2,1,2,2,1,4,2,0.1058000544407534,0.0391697487027323,0.6999999999999997,0.514285714285714,0.5076923076923077,0.5000000000000004,0,0,0,0.2121106402128731,0.0027878110724527,0,0,0.9994389418571228,0
"Some raindrops struck the roof, window and ran down its panes like a stream.","[('Some raindrops', 'a stream', 'ran')]","Some raindrops struck the roof , window and ran down its panes .",3,3,3,5,3,2,4,2,2,0.1383825810731171,0.0002995317180183,0.4374999999999998,0.3199999999999999,0.3142857142857142,0.3076923076923082,0,0,0,0.1404706226575328,0.9401217613829156,0,0,0.9884405408089284,1
"Some raindrops struck the roof, window and ran down its panes like a stream of diamonds.","[('Some raindrops', 'a stream of diamonds', 'ran')]","Some raindrops struck the roof , window and ran down its panes .",5,4,4,4,5,4,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6634406749085163
"President Ham clinched his great fist convulsively and, with delight in his pantomime, opened his fingers one by one, and held out his pink palm, wrinkled and crossed like a flag, as though to show Billy that in it lay the fly, dead.","[('President Ham', 'a flag', 'crossed')]","President Ham clinched his great fist convulsively and , with delight in his pantomime , opened his fingers one by one , and held out his pink palm , wrinkled and crossed , as though to show Billy that in it lay the fly , dead .",2,3,2,2,3,2,1,3,2,0.1285669702158987,0,0,0.4735034523486117,0.7445938441581225,0.7565848910674703,0,0,0,0,0,0.5,0.5,0.3991165799021928,0.2760028445755524
"President Ham clinched his great fist convulsively and, with delight in his pantomime, opened his fingers one by one, and held out his pink palm, wrinkled and crossed like the wings of a butterfly, as though to show Billy that in it lay the fly, dead.","[('President Ham', 'the wings of a butterfly', 'crossed')]","President Ham clinched his great fist convulsively and , with delight in his pantomime , opened his fingers one by one , and held out his pink palm , wrinkled and crossed , as though to show Billy that in it lay the fly , dead .",1,3,3,1,5,4,2,4,4,0.9926540018885136,0.9666205684957114,1,1,1,1,1,1,1,1,0.2845199345209704,0.5,0.5,1,0
"He sprang to his feet as he uttered the words, and darted like lightning into the bushes, I myself following hard at his heels.","[('He', 'lightning', 'darted')]","He sprang to his feet as he uttered the words , and darted into the bushes , I myself following hard at his heels .",4,3,2,4,3,2,5,3,2,0,0.1843634752983424,0,0.0168849195089837,0.0480933656134284,0.0758425896101329,0,0,0,0.093128692545215,0.2515951983374141,0.8749211748138833,0.2831858407079646,1,0
"He sprang to his feet as he uttered the words, and darted like a flash into the bushes, I myself following hard at his heels.","[('He', 'a flash', 'darted')]","He sprang to his feet as he uttered the words , and darted into the bushes , I myself following hard at his heels .",4,4,3,5,3,2,5,3,2,0.2904143731631675,0,1,1,1,1,1,1,1,1,0,0.3138246965901262,0.2654867256637168,0.9990626720032516,0.3492274569402229
"He sprang to his feet as he uttered the words, and darted like an arrow into the bushes, I myself following hard at his heels.","[('He', 'an arrow', 'darted')]","He sprang to his feet as he uttered the words , and darted into the bushes , I myself following hard at his heels .",4,4,3,5,3,2,5,4,2,0.4443652881289881,0.7609164672954467,0.0171008631922707,0,0,0,0,0,0,0,1,0,0,0.9707789432608652,0.9271149949341438
"He sprang to his feet as he uttered the words, and darted like a deer into the bushes, I myself following hard at his heels.","[('He', 'a deer', 'darted')]","He sprang to his feet as he uttered the words , and darted into the bushes , I myself following hard at his heels .",5,4,3,4,3,2,5,3,2,1,1,1,1,1,1,1,1,1,1,0.925675754424887,1,1,0,1
"even before i had uttered three words he yawned in a very human gesture and chided me, shhh, why is it that every flat, face i meet must chatter like a pig at a butchering party?","[('every flat, face', 'a pig', 'chatter')]","even before i had uttered three words he yawned in a very human gesture and chided me , shhh , why is it that every flat , face i meet must chatter at a butchering party ?",3,1,2,4,3,2,4,3,2,0.1716798172421056,0.2953883645525701,0,0,0,0,0,0,0,0,0.9439874810582496,0.5,0.5,0.4968787355558507,0.0264910608698239
"even before i had uttered three words he yawned in a very human gesture and chided me, shhh, why is it that every flat, face i meet must chatter like a butcher at a butchering party?","[('every flat, face', 'a butcher', 'chatter')]","even before i had uttered three words he yawned in a very human gesture and chided me , shhh , why is it that every flat , face i meet must chatter at a butchering party ?",2,3,2,1,3,2,1,4,2,0.0082953937881758,0,0,0,0,0,0,0,0,0,0.4734049662361066,0.5,0.5,1,0
"even before i had uttered three words he yawned in a very human gesture and chided me, shhh, why is it that every flat, face i meet must chatter like an old pig at a butchering party?","[('every flat, face', 'an old pig', 'chatter')]","even before i had uttered three words he yawned in a very human gesture and chided me , shhh , why is it that every flat , face i meet must chatter at a butchering party ?",4,1,3,4,4,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.8105990171337495,0.1879775726067992
"even before i had uttered three words he yawned in a very human gesture and chided me, shhh, why is it that every flat, face i meet must chatter like an old pig at a butchering party!","[('every flat, face', 'an old pig', 'chatter')]","even before i had uttered three words he yawned in a very human gesture and chided me , shhh , why is it that every flat , face i meet must chatter at a butchering party ?",4,1,3,4,4,3,3,4,3,0.3842452325788629,0.4896085031976484,0.5029027809414851,0.497122811888556,0.491564361352147,0.4862762659678109,1,1,1,0.480938814837519,0,0.5,0.5,0.8105990171337495,1
"And a girl was sent off to a spring by the forth to get some water, and when she passed like a shadow by the back, she heard and some one said to it","[('she', 'a shadow', 'passed')]","And a girl was sent off to a spring by the forth to get some water , and when she passed by the forth , she heard and some one said to it",3,2,2,4,3,2,4,3,2,1,0.5457157508742182,0.6374151104080321,0.9598615708877756,0.3255788238959669,1,0.7499999999999998,1,1,0.7343966451810495,0.7759364965532803,1,1,1,1
"And a girl was sent off to a spring by the forth to get some water, and when she passed like a flash by the back, she heard and some one said to it","[('she', 'a flash', 'passed')]","And a girl was sent off to a spring by the forth to get some water , and when she passed by the forth , she heard and some one said to it",4,2,2,3,3,2,3,2,2,0.8711405723543048,1,0.6374151104080321,0.9598615708877756,0.3255788238959669,1,0.7499999999999998,1,1,0.7343966451810495,0.4905020922210502,0.8709389573984343,0.8813559322033898,0.9988177532910048,0.858210083088473
"And a girl was sent off to a spring by the forth to get some water, and when she passed like a flash of lightning by the back, she heard and some one said to it","[('she', 'a flash of lightning', 'passed')]","And a girl was sent off to a spring by the forth to get some water , and when she passed by the forth , she heard and some one said to it",4,2,3,4,4,4,3,2,3,0,0,1,1,0,0,1,1,1,1,0.8200487674872056,0,0,0.9464468334555612,0
"And a girl was sent off to a spring by the forth to get some water, and when she passed like a flash of light by the back, she heard and some one said to it","[('she', 'a flash of light', 'passed')]","And a girl was sent off to a spring by the forth to get some water , and when she passed by the forth , she heard and some one said to it",4,2,3,3,3,4,3,2,3,0.9970960042051928,0.6671193446391159,1,1,0,0,1,1,1,1,1,0.0276632708196005,0.0338983050847457,0.9901492822317284,0.2955123789171786
"An arrow was sent off to a spring by the forth to get some water, and when she passed through the forth, she heard like a flash of lightning and some one said to it","[('she', 'a flash of lightning', 'heard')]","And a girl was sent off to a spring by the forth to get some water , and when she passed by the forth , she heard and some one said to it",1,2,3,1,4,4,1,2,3,0.869486070299103,0.6301096992483141,0,0,1,0.6851036432072362,0,0,0,0,0,0,0,0,0.4861817964543294
She could swear like a trooper.,"[('She', 'a trooper', 'swear')]",She could swear .,5,3,2,5,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,0,0.471021003694678,0.5172413793103449,0.8697393737037017,0.0934656546659502
She could swear like the devil.,"[('She', 'the devil', 'swear')]",She could swear .,1,2,2,3,3,2,3,4,2,0.3976315856419649,0.2875877521660781,0.5238095238095238,0.3571428571428572,0.3142857142857142,0.25,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3665716639209226,0.1063524102694022,0.7325822562478465,0.896551724137931,0.9381088917353112,0.1059108006448146
An old woman could swear like an old woman.,"[('An old woman', 'an old woman', 'swear')]",She could swear .,1,1,3,1,4,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8308174651238819,0.1173920831094393
"And Nikumbha was hard to approach like unto the fire of dissolution, being resplendent with the brilliance of parigha and other ornaments and having his anger for its fuels.","[('Nikumbha', 'like unto the fire of dissolution', 'approach')]","And Nikumbha was hard to approach unto the fire of dissolution , being resplendent with the brilliance of parigha and other ornaments and having his anger for its fuels .",1,3,5,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,0.6411385948500741,1,1,1,0.3004480887642504
"Like a flame Nikumbha was hard to approach unto the fire of dissolution, being resplendent with the brilliance of parigha and other ornaments and having his anger for its fuels.",[],"And Nikumbha was hard to approach unto the fire of dissolution , being resplendent with the brilliance of parigha and other ornaments and having his anger for its fuels .",1,2,3,1,1,1,1,2,1,0.5637041618008379,0.5002845520088798,0.25,0.4470046082949306,0.4629629629629631,0.4733542319749217,0.3333333333333333,0.5714285714285715,0.5,0.6392261543154789,0,0,0,0,0
"And like all burnished gold Nikumbha was hard to approach unto the fire of dissolution, being resplendent with the brilliance of parigha and other ornaments and having its fuels.","[('Nikumbha', 'all burnished gold', '-')]","And Nikumbha was hard to approach unto the fire of dissolution , being resplendent with the brilliance of parigha and other ornaments and having his anger for its fuels .",2,3,3,1,4,3,2,3,3,0,0,0.2258064516129025,0,0,0,0,0,0,0,1,0,0,0.9256756664579404,0.8438954256335224
"Like a flame Nikumbha was hard to approach unto the fire of dissolution, being resplendent with the brilliance of parigha and other ornaments and having his anger for its flames.",[],"And Nikumbha was hard to approach unto the fire of dissolution , being resplendent with the brilliance of parigha and other ornaments and having his anger for its fuels .",1,2,3,1,3,2,1,2,1,0.4205718866021238,0.3667442224454816,0,0.1705069124423959,0.2481481481481481,0.2978056426332288,0,0.4285714285714284,0.2499999999999996,0.3080490011090463,0.4852647726010836,0,0,0.2981056373863089,1
"His linen had to be beaten with a laundry club until it glistened like silver, and, except his wide, brimmed black horsehair hat, he looked immaculately white when he went out of the house to the Government office.","[('His linen', 'silver', 'glistened')]","His linen had to be beaten with a laundry club until it glistened , and , except his wide , brimmed black horsehair hat , he looked immaculately white when he went out of the house to the Government office .",3,1,1,4,3,2,5,3,2,0.7164855689257678,0.5486178222272166,0,1,1,1,0.5,0.5,0.5,1,0.3262282105349157,0.5,0.5,0,1
"His linen had to be beaten with a laundry club until it glistened like gold, and, except his wide, brimmed black horsehair hat, he looked immaculately white when he went out of the house to the Government office.","[('His linen', 'gold', 'glistened')]","His linen had to be beaten with a laundry club until it glistened , and , except his wide , brimmed black horsehair hat , he looked immaculately white when he went out of the house to the Government office .",3,1,1,5,3,2,5,3,2,0.6860280742030564,0.1254972468816721,0,1,1,1,0.5,0.5,0.5,1,1,0.5,0.5,0.8432333700961334,0.3774171724564435
"His linen had to be beaten with a laundry club until it glistened like polished mahogany, and, except his wide, brimmed black horsehair hat, he looked immaculately white when he went out of the house to the Government office.","[('His linen', 'polished mahogany', 'glistened')]","His linen had to be beaten with a laundry club until it glistened , and , except his wide , brimmed black horsehair hat , he looked immaculately white when he went out of the house to the Government office .",5,5,3,5,5,3,4,5,3,0,1,1,0,0,0,0.5,0.5,0.5,0,0.0744883298088931,0.5,0.5,0.363572268462312,0
they gleamed like diamonds.,"[('they', 'diamonds', 'gleamed')]",they gleamed .,5,2,1,5,3,2,5,2,2,1,1,1,1,1,0,0.5,0.5,0.5,1,0,1,1,1,0
"But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a pig.","[('But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a pig.', 'a pen', 'slit'), ('The boar', 'a pig', 'bled')]","But what does I do , but whips out my desk knife , that I used to cut the quills with at home ; met the monster , and slit up his throat like a pen , The boar bled .",1,1,2,1,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2445680760671656
"But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a stuck pig.","[('But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a stuck pig.', 'a pen', 'slit'), ('The boar', 'a stuck pig', 'bled')]","But what does I do , but whips out my desk knife , that I used to cut the quills with at home ; met the monster , and slit up his throat like a pen , The boar bled .",1,1,3,2,4,3,2,4,3,0,0,0.5111111111111099,0.3484848484848488,0.023255813953487,0.0238095238095238,1,0.5,1,0.9496618769406776,0.2882666052467139,0,0,0,0.0079135477780025
"But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like an ox.","[('But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like an ox.', 'a pen', 'slit'), ('The boar', 'an ox', 'bled')]","But what does I do , but whips out my desk knife , that I used to cut the quills with at home ; met the monster , and slit up his throat like a pen , The boar bled .",1,1,2,2,3,2,2,2,2,0.1955719130791497,0.0316894618908621,0,0,0,0,0,0,0,0,0.5096782246000036,0,0,0,1
"But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a horse.","[('But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a horse.', 'a pen', 'slit'), ('The boar', 'a horse', 'bled')]","But what does I do , but whips out my desk knife , that I used to cut the quills with at home ; met the monster , and slit up his throat like a pen , The boar bled .",1,1,2,2,3,2,2,2,2,0.65564459749129,0.7096152183886647,0.5000000000000016,0.3333333333333347,0.3333333333333313,0.3333333333333333,0.4999999999999988,0.5,0,0.5034868710617508,0.8351477560497662,0,0,0,0.4204315867556814
"But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a stuck piglet.","[('But what does I do, but whips out my desk knife, that I used to cut the quills with at home ; met the monster, and slit up his throat like a pen, The boar bled like a stuck piglet.', 'a pen', 'slit'), ('The boar', 'a stuck piglet', 'bled')]","But what does I do , but whips out my desk knife , that I used to cut the quills with at home ; met the monster , and slit up his throat like a pen , The boar bled .",2,1,3,1,4,3,2,4,3,0.2930140919937369,0.4353078851306874,0.0222222222222228,0.0227272727272721,0.023255813953487,0.0238095238095238,0.4999999999999988,0.5,0,0.4551685116572072,0,0,0,0,0
"Here she fell into a rather mournful reverie, thinking of her old life, with its shifts and privations, of her poor father, who had been so happy through it all, never feeling the weight of the petty debts and dishonours that lay like an incubus on her, Of her struggles to keep his affairs straight, of your prayers that she might not live to despise and desert him, which was a temptation that grew with her growing years, and as she thought, she gazed absently, tenderly, pensively, not on the sealskin jacket, but on the faces of the passers, by.","[('the petty debts and dishonours', 'an incubus', 'lay')]","Here she fell into a rather mournful reverie , thinking of her old life , with its shifts and privations , of her poor father , who had been so happy through it all , never feeling the weight of the petty debts and dishonours that lay on her , of her struggles to keep his affairs straight , of her prayers that she might not live to despise and desert him , which was a temptation that grew with her growing years , and as she thought , she gazed absently , tenderly , pensively , not on the sealskin jacket , but on the faces of the passers , by .",4,4,2,3,4,2,4,4,2,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0.4520510940454598
"Here she fell into a rather mournful reverie, thinking of her old life, with its shifts and privations, of her poor father, who had been so happy through it all, never feeling the weight of the petty debts and dishonours that lay like an incubus on her, of your struggles to keep his affairs straight, Of her prayers that she might not live to despise and desert him, which was a temptation that grew with her growing years, and as she thought, she gazed absently, tenderly, pensively, not on the sealskin jacket, but on the faces of the passers, by.","[('the petty debts and dishonours', 'an incubus', 'lay')]","Here she fell into a rather mournful reverie , thinking of her old life , with its shifts and privations , of her poor father , who had been so happy through it all , never feeling the weight of the petty debts and dishonours that lay on her , of her struggles to keep his affairs straight , of her prayers that she might not live to despise and desert him , which was a temptation that grew with her growing years , and as she thought , she gazed absently , tenderly , pensively , not on the sealskin jacket , but on the faces of the passers , by .",4,4,2,3,4,2,4,4,2,0.475741462838237,0.1672806199654555,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5495312026467509,0.5,0.5,0,0
"Here she fell into a rather mournful reverie, thinking of her old life, with its shifts and privations, of her poor father, who had been so happy through it all, never feeling the weight of the petty debts and dishonours that lay like a burden on her, of your struggles to keep his affairs straight, Of her prayers that she might not live to despise and desert him, which was a temptation that grew with her growing years, and as she thought, she gazed absently, tenderly, pensively, not on the sealskin jacket, but on the faces of the passers, by.","[('the petty debts and dishonours', 'a burden', 'lay')]","Here she fell into a rather mournful reverie , thinking of her old life , with its shifts and privations , of her poor father , who had been so happy through it all , never feeling the weight of the petty debts and dishonours that lay on her , of her struggles to keep his affairs straight , of her prayers that she might not live to despise and desert him , which was a temptation that grew with her growing years , and as she thought , she gazed absently , tenderly , pensively , not on the sealskin jacket , but on the faces of the passers , by .",3,2,2,5,3,2,3,3,2,0.2440860215053763,0.3428228604619171,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,0.2284181684868599
"Here she fell into a rather mournful reverie, thinking of her old life, with its shifts and privations, of her poor father, who had been so happy through it all, never feeling the weight of the petty debts and dishonours that lay like an incubus on her, Of her struggles to keep his affairs straight, of my prayers that she might not live to despise and desert him, which was a temptation that grew with her growing years, and as she thought, she gazed absently, tenderly, pensively, not on the sealskin jacket, but on the faces of the passers, by.","[('the petty debts and dishonours', 'an incubus', 'lay')]","Here she fell into a rather mournful reverie , thinking of her old life , with its shifts and privations , of her poor father , who had been so happy through it all , never feeling the weight of the petty debts and dishonours that lay on her , of her struggles to keep his affairs straight , of her prayers that she might not live to despise and desert him , which was a temptation that grew with her growing years , and as she thought , she gazed absently , tenderly , pensively , not on the sealskin jacket , but on the faces of the passers , by .",3,4,2,3,4,2,4,4,2,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.7064285962547645,0.5,0.5,0,1
"He observed that his head was too small for his broad shoulders, observed the intensity of his gaze that blazed like fire when crossed but when calm glittered like a lake at dusk, and noted a cold lethargy.","[('the intensity of his gaze', 'fire', 'blazed'), ('the intensity of his gaze', 'a lake', 'glittered')]","He observed that his head was too small for his broad shoulders , observed the intensity of his gaze that blazed when crossed but when calm glittered like a lake at dusk , and noted a cold lethargy .",4,1,1,3,3,2,5,2,2,0,0.5837232070323077,0,0,0,0,0,0,0,0.0976416838694185,1,0,0,1,0.4623940144767051
"He observed that his head was too small for his broad shoulders, observed the intensity of his gaze that blazed like a furnace when crossed but when calm glittered like a lake at dusk, and noted a cold lethargy.","[('the intensity of his gaze', 'a furnace', 'blazed'), ('the intensity of his gaze', 'a lake', 'glittered')]","He observed that his head was too small for his broad shoulders , observed the intensity of his gaze that blazed when crossed but when calm glittered like a lake at dusk , and noted a cold lethargy .",4,2,2,3,3,2,4,3,2,0.0852045544816629,0,0.5029094658574216,0.3307697918258985,0.2436832808634333,0.1912753182474816,0.5,0.3333333333333338,0,0,0,0,0,0,1
"He observed that his head was too small for his broad shoulders, observed the intensity of his gaze that blazed like a fire when crossed but when calm glittered like a lake at dusk, and noted a cold lethargy.","[('the intensity of his gaze', 'a fire', 'blazed'), ('the intensity of his gaze', 'a lake', 'glittered')]","He observed that his head was too small for his broad shoulders , observed the intensity of his gaze that blazed when crossed but when calm glittered like a lake at dusk , and noted a cold lethargy .",4,1,2,5,3,2,5,2,2,0.6305706341850921,0.7759035140708647,0.5029094658574216,0.3307697918258985,0.2436832808634333,0.1912753182474816,0.5,0.3333333333333338,0,1,0.4431805728768259,0,0,0.981307133160666,0.2172642339653767
"He observed that his head was too small for his broad shoulders, observed the intensity of his gaze that blazed like a flame when crossed but when calm glittered like a lake at dusk, and noted a cold lethargy.","[('the intensity of his gaze', 'a flame', 'blazed'), ('the intensity of his gaze', 'a lake', 'glittered')]","He observed that his head was too small for his broad shoulders , observed the intensity of his gaze that blazed when crossed but when calm glittered like a lake at dusk , and noted a cold lethargy .",4,2,2,5,4,2,5,2,2,1,1,1,1,1,1,1,1,1,1,0.1159808329693278,1,1,0.9907922302725262,0
The idea resounded like thunder throughout the land.,"[('The idea', 'thunder', 'resounded')]",The idea resounded throughout the land .,3,2,1,4,3,2,5,3,2,0.8337730050733528,0.9929031925093535,0,0.4867119561768897,0.522746721643608,0.0648872783445161,0,0,0,0.1910653491654896,0,0.5,0.5,0.996258342426502,1
The idea resounded like an earthquake throughout the land.,"[('The idea', 'an earthquake', 'resounded')]",The idea resounded throughout the land .,4,3,2,3,3,2,3,3,2,1,0.9307474291064332,0.1137370390482182,0.5,0.5,0,0,0,0,0.1277920783857843,0.5064138286623837,0.5,0.5,0,0.961725849214802
The idea resounded like a thunderous wave throughout the land.,"[('The idea', 'a thunderous wave', 'resounded')]",The idea resounded throughout the land .,4,4,2,5,5,4,4,4,3,0.9140199840517464,0.997593932931062,1,0.9812883919382904,0.9559353735014396,0.9010736599485756,1,1,1,0.929947989401614,0.3080371587121473,0.5,0.5,1,0.8179470982800426
"i felt hands on my shoulders, and i twitched like a cat trying to dislodge a fly.","[('i', 'a cat', 'twitched')]","i felt hands on my shoulders , and i twitched trying to dislodge a fly .",5,2,2,3,3,2,4,3,2,0.7336059059359602,1,1,1,1,1,1,1,0.5,1,1,0.2833353899751555,0.3351063829787234,1,1
"i felt hands on my shoulders, and i twitched like a dog trying to dislodge a fly.","[('i', 'a dog', 'twitched')]","i felt hands on my shoulders , and i twitched trying to dislodge a fly .",5,2,2,4,3,2,4,3,2,1,0.304499317830852,1,1,1,1,1,1,0.5,1,0.950556278264648,1,1,0.5660101827367091,0.0222256399518594
"i felt hands on my shoulders, and i twitched like an eel trying to dislodge a fly.","[('i', 'an eel', 'twitched')]","i felt hands on my shoulders , and i twitched trying to dislodge a fly .",4,4,2,3,3,2,3,4,2,0.1210990621854082,0,0,0,0,0,0,0,0.5,0,0,0.0335474269949626,0.0585106382978723,0.6920333899040928,0.1897744823452131
"Soon her deck smoked like a furnace under wind, and the shouts of the prisoners became terrible to endure.","[('her deck', 'a furnace', 'smoked')]","Soon her deck smoked under wind , and the shouts of the prisoners became terrible to endure .",3,2,2,5,3,2,4,3,2,0.175460412976488,1,0,1,1,1,0.5,0.5,0.5,1,1,0.5,0.5,0,0.1383069212348038
"Soon her deck smoked like a barrel under wind, and the shouts of the prisoners became terrible to endure.","[('her deck', 'a barrel', 'smoked')]","Soon her deck smoked under wind , and the shouts of the prisoners became terrible to endure .",1,2,2,2,3,2,2,4,2,1,0.4166220338588361,0,1,1,1,0.5,0.5,0.5,1,0.6263540871525142,0.5,0.5,0.7569574761887902,0
"Soon her deck smoked like a volcano under wind, and the shouts of the prisoners became terrible to endure.","[('her deck', 'a volcano', 'smoked')]","Soon her deck smoked under wind , and the shouts of the prisoners became terrible to endure .",3,2,2,4,4,2,4,3,2,0,0.3281046969238293,0,1,1,1,0.5,0.5,0.5,1,0,0.5,0.5,0.5409836065573771,0.6440320871010378
"Soon her deck smoked like a cinder block under wind, and the shouts of the prisoners became terrible to endure.","[('her deck', 'a cinder block', 'smoked')]","Soon her deck smoked under wind , and the shouts of the prisoners became terrible to endure .",4,3,3,3,4,3,4,5,2,0.4226397010651979,0.4605733181193675,1,0,0,0,0.5,0.5,0.5,0,0.7590892784784663,0.5,0.5,1,0.6815499169033069
"Soon her deck smoked like a chimney under wind, and the shouts of the prisoners became terrible to endure.","[('her deck', 'a chimney', 'smoked')]","Soon her deck smoked under wind , and the shouts of the prisoners became terrible to endure .",3,4,2,5,4,2,5,4,2,0.3631621090432631,0,0,1,1,1,0.5,0.5,0.5,1,0.452406014961404,0.5,0.5,0.6790709202280211,1
